code,hs2,imports,commodity,exports,total
QC,44,826619161,Wood & wood articles,0,826619161
BC,19,818445268,Prepared cereals,0,818445268
AB,08,787942063,Fruit & nuts,0,787942063
AB,40,782184924,Rubber,0,782184924
MB,90,777244899,Optical & medical instruments,0,777244899
BC,09,765177131,"Coffee, tea & spices",0,765177131
NB,84,762284624,Machinery & mechanical appliances,0,762284624
BC,20,757467178,Prepared vegetables,0,757467178
QC,20,745201865,Prepared vegetables,0,745201865
AB,29,726753917,Organic chemicals,0,726753917
ON,10,717879762,Cereals,0,717879762
QC,02,701007831,Meat & offal,0,701007831
ON,24,689266222,Tobacco,0,689266222
AB,38,682998504,Misc chemical products,0,682998504
BC,21,675076505,Misc food preparations,0,675076505
QC,95,672565576,Toys & sports equipment,0,672565576
QC,17,669837151,Sugars,0,669837151
ON,56,662486363,Wadding & felt,0,662486363
QC,83,654261876,Miscellaneous metal articles,0,654261876
SK,31,631131748,Fertilizers,0,631131748
BC,38,614846325,Misc chemical products,0,614846325
ON,81,614669215,Other base metals,0,614669215
QC,31,612600876,Fertilizers,0,612600876
QC,03,607117428,Fish & seafood,0,607117428
SK,39,595052604,Plastics,0,595052604
QC,64,590087425,Footwear,0,590087425
MB,48,586467418,Paper & paperboard,0,586467418
AB,07,563278381,Vegetables,0,563278381
QC,19,562256524,Prepared cereals,0,562256524
NS,85,557099707,Electrical equipment,0,557099707
ON,25,541730293,"Salt, sulphur, stone, cement",0,541730293
MB,29,536785999,Organic chemicals,0,536785999
SK,73,532583976,Articles of iron & steel,0,532583976
ON,57,507127905,Carpets,0,507127905
BC,42,502784278,Leather goods,0,502784278
QC,04,488274923,Dairy products,0,488274923
ON,89,488151029,Ships & boats,0,488151029
BC,63,486931427,Other made-up textiles,0,486931427
BC,68,480343518,Stone & cement articles,0,480343518
MB,94,477430788,Furniture,0,477430788
QC,70,475370214,Glass,0,475370214
QC,42,475243496,Leather goods,0,475243496
QC,75,474513197,Nickel,0,474513197
BC,16,474443207,Prepared meat & fish,0,474443207
ON,59,470379931,Coated textiles,0,470379931
NB,03,469516321,Fish & seafood,0,469516321
BC,02,463408069,Meat & offal,0,463408069
MB,86,452430807,Railway equipment,0,452430807
BC,70,451973760,Glass,0,451973760
QC,15,451741556,Animal/veg fats & oils,0,451741556
AB,31,451192681,Fertilizers,0,451192681
BC,71,448430756,Precious metals & stones,0,448430756
BC,99,446959255,Confidential / low-value (CA),0,446959255
BC,96,445093459,Miscellaneous manufactures,0,445093459
NB,87,433344890,Vehicles,0,433344890
ON,06,431828784,Live trees & plants,0,431828784
NS,99,426063977,Confidential / low-value (CA),0,426063977
AB,95,406772480,Toys & sports equipment,0,406772480
QC,86,399720774,Railway equipment,0,399720774
ON,11,396613326,Milling products,0,396613326
BC,83,396010665,Miscellaneous metal articles,0,396010665
BC,29,391394557,Organic chemicals,0,391394557
AB,71,385253962,Precious metals & stones,0,385253962
QC,63,384113618,Other made-up textiles,0,384113618
MB,40,383471419,Rubber,0,383471419
QC,21,373448637,Misc food preparations,0,373448637
ON,01,366716757,Live animals,0,366716757
BC,89,365757846,Ships & boats,0,365757846
ON,75,363651619,Nickel,0,363651619
BC,82,357859214,Tools & cutlery,0,357859214
ON,65,355243372,Headgear,0,355243372
QC,68,342546814,Stone & cement articles,0,342546814
QC,82,338240375,Tools & cutlery,0,338240375
QC,32,330289790,Tanning & dye extracts,0,330289790
ON,93,326360511,Arms & ammunition,0,326360511
MB,34,321948476,Soap & cleaning products,0,321948476
AB,23,321595748,Food industry residues,0,321595748
BC,10,319617566,Cereals,0,319617566
BC,33,319086306,Cosmetics & perfumes,0,319086306
QC,69,318333172,Ceramic products,0,318333172
AB,99,316938086,Confidential / low-value (CA),0,316938086
AB,34,311175102,Soap & cleaning products,0,311175102
QC,81,310602539,Other base metals,0,310602539
SK,40,310104193,Rubber,0,310104193
MB,23,307815665,Food industry residues,0,307815665
BC,15,307346692,Animal/veg fats & oils,0,307346692
ON,47,305397606,Wood pulp,0,305397606
NS,03,304861869,Fish & seafood,0,304861869
QC,07,303242556,Vegetables,0,303242556
ON,98,292562270,Special transactions (CA),0,292562270
AB,86,288800372,Railway equipment,0,288800372
AB,48,283587931,Paper & paperboard,0,283587931
NS,88,280891519,Aircraft & spacecraft,0,280891519
BC,32,279885177,Tanning & dye extracts,0,279885177
AB,68,273170965,Stone & cement articles,0,273170965
QC,25,272413888,"Salt, sulphur, stone, cement",0,272413888
BC,23,271925446,Food industry residues,0,271925446
NS,73,271272123,Articles of iron & steel,0,271272123
BC,12,269056017,Oil seeds,0,269056017
BC,69,268678407,Ceramic products,0,268678407
QC,49,265466801,Printed books & media,0,265466801
QC,47,264314526,Wood pulp,0,264314526
NS,40,263559453,Rubber,0,263559453
QC,34,263497781,Soap & cleaning products,0,263497781
BC,17,259099497,Sugars,0,259099497
BC,34,258235311,Soap & cleaning products,0,258235311
AB,76,257338332,Aluminium,0,257338332
BC,49,252687472,Printed books & media,0,252687472
AB,19,247485111,Prepared cereals,0,247485111
MB,88,246674788,Aircraft & spacecraft,0,246674788
AB,21,245697520,Misc food preparations,0,245697520
QC,16,240206903,Prepared meat & fish,0,240206903
AB,28,240176226,Inorganic chemicals,0,240176226
MB,44,237063255,Wood & wood articles,0,237063255
QC,23,234969580,Food industry residues,0,234969580
BC,74,232369205,Copper,0,232369205
MB,25,227956134,"Salt, sulphur, stone, cement",0,227956134
ON,54,226182829,Man-made filaments,0,226182829
SK,29,225825371,Organic chemicals,0,225825371
NL,88,224211433,Aircraft & spacecraft,0,224211433
MB,95,220422086,Toys & sports equipment,0,220422086
BC,35,219503606,Protein substances,0,219503606
NB,39,217904399,Plastics,0,217904399
BC,30,217767793,Pharmaceuticals,0,217767793
NL,89,213888767,Ships & boats,0,213888767
AB,33,212657007,Cosmetics & perfumes,0,212657007
NB,85,209814012,Electrical equipment,0,209814012
BC,25,207504948,"Salt, sulphur, stone, cement",0,207504948
AB,44,206417021,Wood & wood articles,0,206417021
QC,12,205196102,Oil seeds,0,205196102
QC,35,204810802,Protein substances,0,204810802
NU,27,202360447,Mineral fuels & oils,0,202360447
BC,04,202031163,Dairy products,0,202031163
AB,72,201849083,Iron & steel,0,201849083
AB,20,201056942,Prepared vegetables,0,201056942
ON,13,200854713,Resins & gums,0,200854713
MB,32,200478088,Tanning & dye extracts,0,200478088
SK,23,197613905,Food industry residues,0,197613905
BC,18,195721879,Cocoa & cocoa products,0,195721879
MB,12,194608222,Oil seeds,0,194608222
SK,01,190341772,Live animals,0,190341772
SK,34,189900497,Soap & cleaning products,0,189900497
ON,55,188892664,Man-made staple fibres,0,188892664
MB,83,187160239,Miscellaneous metal articles,0,187160239
AB,82,186937066,Tools & cutlery,0,186937066
MB,72,184124289,Iron & steel,0,184124289
NS,22,183933310,Beverages & spirits,0,183933310
SK,10,183670102,Cereals,0,183670102
MB,99,183202560,Confidential / low-value (CA),0,183202560
SK,90,181046754,Optical & medical instruments,0,181046754
QC,54,180690950,Man-made filaments,0,180690950
MB,28,179954791,Inorganic chemicals,0,179954791
NS,61,178404330,Knitted apparel,0,178404330
MB,76,175853039,Aluminium,0,175853039
ON,97,173302674,Works of art,0,173302674
QC,96,172727735,Miscellaneous manufactures,0,172727735
ON,92,172701349,Musical instruments,0,172701349
AB,62,171739884,Woven apparel,0,171739884
BC,06,168384204,Live trees & plants,0,168384204
AB,83,168046965,Miscellaneous metal articles,0,168046965
MB,33,166392088,Cosmetics & perfumes,0,166392088
ON,05,165985104,Other animal products,0,165985104
NS,33,164147228,Cosmetics & perfumes,0,164147228
QC,56,162865519,Wadding & felt,0,162865519
AB,10,162761599,Cereals,0,162761599
MB,19,161545439,Prepared cereals,0,161545439
AB,30,157797490,Pharmaceuticals,0,157797490
MB,68,156544798,Stone & cement articles,0,156544798
AB,63,154982734,Other made-up textiles,0,154982734
QC,93,153749632,Arms & ammunition,0,153749632
SK,94,153168159,Furniture,0,153168159
AB,61,152039148,Knitted apparel,0,152039148
QC,36,151564891,Explosives,0,151564891
NB,40,149534018,Rubber,0,149534018
SK,95,148337839,Toys & sports equipment,0,148337839
MB,49,148246202,Printed books & media,0,148246202
NS,89,148075845,Ships & boats,0,148075845
AB,70,147786660,Glass,0,147786660
MB,82,147494653,Tools & cutlery,0,147494653
MB,02,147318079,Meat & offal,0,147318079
AB,25,145602941,"Salt, sulphur, stone, cement",0,145602941
NB,48,145383328,Paper & paperboard,0,145383328
PE,29,139386384,Organic chemicals,0,139386384
BC,57,139218729,Carpets,0,139218729
SK,72,136421448,Iron & steel,0,136421448
MB,30,136205324,Pharmaceuticals,0,136205324
BC,86,134212907,Railway equipment,0,134212907
QC,55,133624551,Man-made staple fibres,0,133624551
MB,21,132198341,Misc food preparations,0,132198341
MB,57,130102798,Carpets,0,130102798
ON,67,126049483,Feathers & artificial flowers,0,126049483
QC,06,124900713,Live trees & plants,0,124900713
MB,10,124710290,Cereals,0,124710290
SK,16,124320625,Prepared meat & fish,0,124320625
ON,58,123656675,Special woven fabrics,0,123656675
BC,01,123570607,Live animals,0,123570607
BC,93,123334836,Arms & ammunition,0,123334836
BC,65,122506254,Headgear,0,122506254
MB,70,122188054,Glass,0,122188054
NS,62,122119538,Woven apparel,0,122119538
QC,65,118276001,Headgear,0,118276001
MB,08,115533345,Fruit & nuts,0,115533345
SK,19,111270561,Prepared cereals,0,111270561
NB,73,111184283,Articles of iron & steel,0,111184283
NB,44,109816756,Wood & wood articles,0,109816756
QC,59,108754256,Coated textiles,0,108754256
MB,16,108326666,Prepared meat & fish,0,108326666
QC,97,103192575,Works of art,0,103192575
ON,79,101774873,Zinc,0,101774873
BC,11,101766689,Milling products,0,101766689
ON,37,101511323,Photographic goods,0,101511323
NB,89,100825990,Ships & boats,0,100825990
MB,62,100785433,Woven apparel,0,100785433
AB,12,100713966,Oil seeds,0,100713966
MB,20,100427833,Prepared vegetables,0,100427833
QC,10,100401880,Cereals,0,100401880
QC,89,97744147,Ships & boats,0,97744147
MB,22,97308965,Beverages & spirits,0,97308965
QC,57,96650940,Carpets,0,96650940
NL,73,95693783,Articles of iron & steel,0,95693783
QC,01,94871100,Live animals,0,94871100
AB,42,94375494,Leather goods,0,94375494
